order_id,amount,age,rating,city
1,112.36,33,5,Paris
2,80.61,29,5,Paris
3,106.50,30,5,Paris
4,100.19,34,5,Paris
5,92.91,32,5,Paris
6,85.44,32,5,Paris
7,110.09,29,5,Paris
8,97.49,29,5,Paris
9,22.70,54,5,Paris
10,24.44,25,2,Paris
11,13.44,63,,Paris
12,18.09,61,5,Paris
13,29.95,64,4,Lyon
14,3.32,65,5,Nantes
15,11.58,52,5,Paris
16,8.97,56,,Paris
17,8.95,48,,Lille
18,22.03,57,3,Paris
19,58.78,43,5,Paris
20,20.64,51,1,Paris
21,8.72,34,5,Lyon
22,9.35,47,,Paris
23,6.76,40,2,Paris
24,20.70,50,2,Paris
25,25.74,61,1,Paris
26,5.97,43,1,Paris
27,7.38,45,4,Paris
28,26.31,44,1,Lille
29,49.54,63,5,Paris
30,5.77,44,2,Paris
31,29.56,58,1,Lyon
32,29.30,48,5,Lille
33,10.87,49,2,Lyon
34,11.47,41,3,Lyon
35,11.40,65,,Lille
36,28.87,58,,Paris
37,17.11,35,5,Paris
38,37.99,66,,Paris
39,20.42,38,1,Nantes
40,31.64,23,1,Nantes
41,10.44,44,3,Paris
42,5.72,53,3,Nantes
43,40.67,32,4,Paris
44,9.43,52,,Paris
45,4.75,65,5,Lyon
46,4.05,55,3,Paris
47,61.27,28,3,Paris
48,33.42,43,5,Nantes
49,10.38,53,1,Paris
50,24.44,37,4,Paris
51,25.49,34,2,Lille
52,48.59,50,1,Paris
53,22.80,50,4,Lille
54,60.98,61,1,Nantes
55,3.85,39,2,Nantes
56,21.82,23,3,Paris
57,63.47,67,5,Lyon
58,18.26,22,,Nantes
59,24.40,44,4,Nantes
60,13.74,28,,Paris
61,20.24,35,2,Lille
62,19.21,47,,Lyon
63,17.75,25,1,Nantes
64,29.08,67,5,Lyon
65,3.98,55,4,Paris
66,9.41,50,5,Paris
67,30.28,57,1,Lille
68,29.25,40,4,Paris
69,9.52,51,,Paris
70,3.95,42,5,Paris
71,51.56,66,3,Paris
72,23.28,63,3,Nantes
73,18.25,53,2,Paris
74,9.19,58,3,Paris
75,18.28,51,4,Paris
76,15.57,27,5,Paris
77,7.73,63,3,Paris
